,EU Gov,EU Corps,Greek Gov,US Equity,EU Equity,EU Flot,Cash
6/17/2016,254.2069,215.4181,175.89,2107.06,5650.75,130.0859,72.204361
6/24/2016,255.0119,215.0538,171.07,2103.02,5601.76,129.9834,72.204346
7/1/2016,259.0057,215.8495,181.3,2171.49,5848.26,130.0436,72.204338
7/8/2016,259.9145,216.3083,179.54,2220.93,5788.91,130.0676,72.20433
7/15/2016,257.8764,216.7223,181.34,2241.18,5939.28,130.1111,72.204315
7/22/2016,258.4034,216.8123,180.19,2277.84,5967.66,130.1428,72.204308
7/29/2016,260.5232,217.0017,178.85,2233.1,5959.98,130.1735,72.204292
8/5/2016,259.9194,217.0408,176.93,2269.64,5938.95,130.2459,72.204285
8/12/2016,260.7894,217.3131,179.6,2246.99,6007.27,130.2962,72.204277
8/19/2016,259.9128,217.1906,180.66,2212.25,5904,130.3333,72.204262
8/26/2016,260.3976,217.3284,180.78,2209.08,5951.36,130.365,72.204254
9/2/2016,258.812,217.3335,180.39,2244.63,6080.53,130.3876,72.203537
9/9/2016,257.7808,217.342,178.65,2186.31,5985.18,130.3962,72.202827
9/16/2016,257.5143,217.2671,174.41,2216.15,5842.13,130.3992,72.202515
9/23/2016,259.6264,217.4279,176.82,2224.04,5971.9,130.4019,72.202499
9/30/2016,260.2186,217.3568,178.05,2221.85,5918.64,130.2928,72.202492
10/7/2016,257.4922,217.2058,177.53,2228.32,5897.73,130.3561,72.202354
10/14/2016,257.1113,217.1871,176.18,2244.97,5897.33,130.3913,72.202159
10/21/2016,257.8472,217.4188,175.94,2272.27,5970.45,130.4246,72.201981
10/28/2016,254.6008,217.0252,176.74,2248.05,5907.2,130.4328,72.201824
11/4/2016,254.719,217.1012,185.34,2160.99,5691.26,130.4222,72.20185
11/11/2016,250.2746,216.5936,191.06,2292.58,5866.09,130.4311,72.202018
11/18/2016,250.1888,216.3297,194.61,2362.52,5890.07,130.4258,72.202153
11/25/2016,250.0912,216.773,195.97,2387.39,5926.68,130.4321,72.202281
12/2/2016,250.8114,216.5682,201.85,2348.17,5873.65,130.4282,72.202425
12/9/2016,249.5119,216.855,197.47,2451.84,6168.53,130.4304,72.201642
12/16/2016,250.7566,217.1249,190.54,2498.08,6278.12,130.4447,72.199967
12/23/2016,252.5623,217.3286,189.96,2494.32,6268.77,130.4928,72.197471
12/30/2016,252.4226,217.3953,193.1,2448.17,6295.23,130.4969,72.195199
1/6/2017,250.0282,217.1416,198.41,2481.25,6379.17,130.5221,72.192333
1/13/2017,250.3361,217.0998,195.54,2465.58,6372.28,130.5467,72.189378
1/20/2017,248.6574,216.9366,194.28,2444.16,6298.53,130.5781,72.186423
1/27/2017,247.2603,216.9214,192.49,2461.74,6340.32,130.6085,72.183468
2/3/2017,246.9932,217.3599,188.06,2448.91,6296.56,130.6232,72.180353
2/10/2017,247.3958,217.7425,189.6,2503.24,6362.65,130.637,72.177117
2/17/2017,248.0479,217.9652,183.91,2553.97,6445.36,130.6554,72.17388
2/24/2017,249.5327,218.6621,193.57,2592.08,6456.26,130.6723,72.170644
3/3/2017,248.7149,217.8117,195.33,2619.39,6559.46,130.7003,72.16741
3/10/2017,245.7753,217.5105,194.19,2596.06,6526.74,130.7056,72.164175
3/17/2017,246.3364,217.5228,191.93,2576.38,6623.31,130.7083,72.16094
3/24/2017,247.8717,217.4028,192.76,2527.38,6595,130.7056,72.157786
3/31/2017,248.6348,217.719,199.92,2570.13,6675.55,130.7021,72.154831
4/7/2017,250.2443,218.2753,202.43,2583.32,6685.26,130.7046,72.151896
4/14/2017,250.0472,218.4921,205.45,2551.45,6659.01,130.7018,72.149483
4/21/2017,249.7567,218.1188,206.18,2552.12,6595.68,130.6945,72.146826
4/28/2017,249.9169,218.3036,210.89,2547.68,6743.59,130.734,72.144713
5/5/2017,249.8504,218.1208,218.66,2542.66,6889.22,130.7812,72.142599
5/12/2017,249.5114,218.3503,220.54,2554.06,6959.78,130.7852,72.140486
5/19/2017,250.4571,218.2753,220.62,2477.9,6901.53,130.7633,72.138373
5/26/2017,251.2678,218.5128,217.03,2513.49,6888.67,130.7754,72.13654
6/2/2017,251.0581,218.8219,215.99,2514.36,6910.37,130.7836,72.134706
6/9/2017,252.1419,218.8269,217.72,2526.7,6866.34,130.7806,72.132872
6/16/2017,252.6858,218.6436,222.79,2525.84,6830.93,130.7973,72.131039
6/23/2017,253.5424,218.6714,225.85,2541.07,6828.48,130.8192,72.129227
6/30/2017,249.9529,218.1109,225.87,2472.19,6679.62,130.8281,72.126652
7/7/2017,247.9403,218.3244,225.2,2477.81,6667.09,130.8609,72.123978
7/14/2017,248.8163,218.588,226.08,2498.91,6778.28,130.8805,72.120342
7/21/2017,250.955,219.0864,226.71,2464.71,6670.98,130.9012,72.116547
7/28/2017,250.2278,219.2478,225.21,2452.14,6603.84,130.9111,72.11233
8/4/2017,251.717,219.524,223.97,2466.17,6687.75,130.9405,72.108115
8/11/2017,252.6168,219.644,222.67,2432.29,6508.54,130.9211,72.103899
8/18/2017,252.4044,219.562,221.9,2423.72,6537.31,130.9304,72.099684
8/25/2017,252.0281,219.6628,223.97,2414.48,6539.36,130.9278,72.095468
9/1/2017,252.1867,219.673,224.41,2449.29,6573.73,130.9316,72.091253
9/8/2017,253.2359,219.8794,226.32,2400.05,6574.55,130.9489,72.087038
9/15/2017,251.5728,219.4831,228.15,2451.95,6667.82,131.0109,72.082823
9/22/2017,251.4598,219.4677,226.67,2452.18,6721.19,131.0274,72.078608
9/29/2017,251.4414,219.5813,225.44,2493.22,6823.77,131.0299,72.074266
10/6/2017,251.1175,219.5984,226.53,2543.78,6861.6,131.042,72.069584
10/13/2017,252.485,219.9794,228.87,2523.41,6885.82,131.0696,72.064783
10/20/2017,251.9357,220.0001,229.44,2558.07,6856.01,131.0985,72.059984
10/27/2017,253.0739,220.4901,230.37,2620.09,6908.12,131.1093,72.055184
11/3/2017,254.3035,220.7076,238.13,2622.02,6968.79,131.1357,72.050385
11/10/2017,253.419,220.4892,238.3,2607.24,6846.1,131.1248,72.045586
11/17/2017,254.1458,220.4175,239.37,2564.57,6765.29,131.1203,72.040787
11/24/2017,254.6201,220.3383,237.79,2562.7,6839.98,131.1411,72.035989
12/1/2017,256.0922,220.5333,237.34,2618.67,6771.05,131.1423,72.031353
12/8/2017,256.398,220.7041,240.2,2653.32,6854.46,131.1439,72.026695
12/15/2017,255.6095,220.5646,240.87,2691.32,6872.04,131.1487,72.021996
12/22/2017,253.969,220.0058,253.3,2678.42,6880.08,131.1487,72.017297
12/29/2017,252.8506,219.9116,256.14,2624.93,6861.77,131.1516,72.012598
1/5/2018,253.0189,220.1019,263.67,2690.73,6978.92,131.1677,72.0079
1/12/2018,252.3726,219.696,262.22,2707.57,7002.23,131.1696,72.003201
1/19/2018,252.8282,220.0961,263.97,2715.92,7025.39,131.172,71.998504
1/26/2018,252.4057,219.861,266.46,2739.45,7037.12,131.1991,71.993806
2/2/2018,251.4278,219.7702,265.1,2639.67,6794.06,131.2161,71.989109
2/9/2018,251.5964,219.69,257.02,2536.95,6427.61,131.1618,71.984412
2/16/2018,251.8206,219.8451,253.34,2613.28,6618.96,131.1486,71.979715
2/23/2018,251.88,219.9659,250.32,2659.95,6632.15,131.1391,71.975019
3/2/2018,252.7259,219.9388,250.29,2607.57,6380.45,131.0638,71.970323
3/9/2018,253.0287,219.9396,254.55,2694.28,6551.58,131.0435,71.965627
3/16/2018,254.1606,219.8898,255.44,2664.02,6555.93,130.9766,71.960772
3/23/2018,255.4851,219.6909,253.04,2468.85,6338.41,130.8887,71.955444
3/30/2018,256.467,219.8131,255.06,2531.38,6454.65,130.8817,71.950758
4/6/2018,256.1669,219.8295,261.32,2509.24,6563.82,130.8875,71.944348
4/13/2018,255.9301,219.9405,259.15,2550.79,6635.27,130.8894,71.938743
4/20/2018,255.1512,219.758,259.5,2563.44,6645.04,130.8877,71.933138
4/27/2018,255.6617,219.89,261.52,2603.27,6733.36,130.8861,71.927533
5/4/2018,255.3937,219.9224,258,2650.45,6785.31,130.8791,71.921849
5/11/2018,254.9925,219.9232,259.55,2718.36,6888.3,130.8747,71.915965
5/18/2018,252.9097,219.7687,250.88,2730.41,6952.67,130.8235,71.910083
5/25/2018,253.237,219.8991,254.48,2766.2,6869.7,130.6862,71.9042
6/1/2018,252.6359,219.5683,252.16,2783.34,6810.92,130.4929,71.898319
6/8/2018,250.1888,219.4135,248.78,2806.19,6755.75,130.4117,71.892438
6/15/2018,253.3287,219.8219,252,2832.1,6827.33,130.4863,71.886317
6/22/2018,253.0734,220.0164,258.65,2800.45,6810.36,130.4602,71.880018
6/29/2018,254.2802,219.6487,262.04,2763.25,6728.4,130.3783,71.87372
7/6/2018,254.3604,219.8083,261.9,2788.27,6793.82,130.4033,71.868119
7/13/2018,254.9602,220.0002,264.27,2869.12,6831.01,130.4404,71.86252
7/20/2018,254.384,219.8594,263.56,2868.29,6851.76,130.4657,71.856921
7/27/2018,253.7354,220.0456,264.2,2892.15,6993.32,130.534,71.851322
8/3/2018,252.6771,220.1017,258.82,2949.65,6937.87,130.5584,71.845723
8/10/2018,253.3943,220.4633,256.91,2989.36,6874.75,130.5502,71.840126
8/17/2018,252.7953,220.444,255.04,3016.29,6793.56,130.5338,71.834529
8/24/2018,252.6887,220.1126,257.05,2976.06,6814.46,130.5243,71.828932
